Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
179133,Domain-Driven Design: Tackling Complexity in the Heart of Software,Eric Evans,"Evans, Eric",,"=""0321125215""","=""9780321125217""",0,4.15,Addison-Wesley Professional,Hardcover,560,2003,2003,,2021/09/16,to-read,to-read (#65),to-read,,,,0,0
46223297,Permanent Record,Edward Snowden,"Snowden, Edward",,"=""1250237238""","=""9781250237231""",5,4.31,Metropolitan Books,Hardcover,339,2019,2019,,2020/03/08,"non-fiction, favorites","non-fiction (#9), favorites (#12)",read,,,,1,0
23164946,The Surrender Experiment: My Journey into Life's Perfection,Michael A. Singer,"Singer, Michael A.",,"=""080414110X""","=""9780804141109""",5,4.08,Harmony,Paperback,252,2015,2015,2021/08/09,2021/07/16,"autobiography, favorites","autobiography (#4), favorites (#1)",read,,,,1,0
1963638,The Untethered Soul: The Journey Beyond Yourself,Michael A. Singer,"Singer, Michael A.",,"=""1572245379""","=""9781572245372""",5,4.22,New Harbinger Publications,Paperback,186,2007,2007,,2020/02/20,"spiritual, favorites","spiritual (#3), favorites (#10)",read,,,,1,0
3735293,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Martin, Robert C.",,"=""0132350882""","=""9780132350884""",5,4.39,Pearson,Paperback,464,2008,2007,,2020/03/08,"programming, favorites","programming (#7), favorites (#2)",read,,,,1,0
81948,The E-myth Revisited,Michael E. Gerber,"Gerber, Michael E.",,"=""0887307280""","=""9780887307287""",4,4.05,Harper Collins,Unknown Binding,269,1995,1985,2015/05/05,2020/03/08,"business, favorites","business (#6), favorites (#9)",read,,,,1,0
53746011,"Skip the Line: The 10,000 Experiments Rule and Other Surprising Advice for Reaching Your Goals",James Altucher,"Altucher, James",,"=""0062998935""","=""9780062998934""",5,4.13,Harper Business,ebook,288,2021,2021,2021/08/26,2021/08/20,"non-fiction, favorites","non-fiction (#7), favorites (#8)",read,"Quite inspiring, for sure I will do the ten ideas a day tip.",,,1,0
563,CSS Mastery: Advanced Web Standards Solutions,Andy Budd,"Budd, Andy","Cameron Moll, Simon Collison","=""1590596145""","=""9781590596142""",5,4.09,Friends of ED,Paperback,255,2006,2006,2006/08/17,2021/08/31,programming,programming (#13),read,"Read this a long time ago, a classic.",,,1,0
49195923,Reed Hastings: Building Netflix,Matt Burgess,"Burgess, Matt",,"=""""","=""""",4,3.52,Weidenfeld & Nicolson,Kindle Edition,133,2020,2020,2021/06/04,2021/08/28,autobiography,autobiography (#3),read,,,,1,0
857,Web Standards Solutions: The Markup and Style Handbook,Dan Cederholm,"Cederholm, Dan",Steve Rycroft,"=""1590593812""","=""9781590593813""",4,4.08,Friends of ED,Paperback,253,2004,2004,2004/06/23,2021/08/31,programming,programming (#15),read,,,,1,0
30646587,"The Simple Path to Wealth: Your road map to financial independence and a rich, free life",J.L. Collins,"Collins, J.L.",Mr. Money Mustache,"=""""","=""""",4,4.45,jlcollinsnh.com,Kindle Edition,288,2016,2016,2020/10/16,2021/08/29,non-fiction,non-fiction (#23),read,,,,1,0
35496817,Atomic Design,Brad Frost,"Frost, Brad",,"=""0998296600""","=""9780998296609""",4,4.02,Brad Frost,Paperback,189,2016,2016,2016/01/01,2021/08/28,non-fiction,non-fiction (#20),read,,,,1,0
11532012,Adaptive Web Design: Crafting Rich Experiences with Progressive Enhancement,Aaron Gustafson,"Gustafson, Aaron",Jeffrey Zeldman,"=""098358950X""","=""9780983589501""",4,4.01,Easy Readers,Paperback,144,2011,2011,2011/05/01,2021/08/31,programming,programming (#17),read,,,,1,0
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",2,4.37,Harper Business,Hardcover,274,2016,2016,2020/04/14,2020/11/17,non-fiction,non-fiction (#11),read,,,,1,0
12910715,Designing for Emotion,Aarron Walter,"Walter, Aarron",,"=""""","=""9781937557003""",5,3.96,A Book Apart,Paperback,104,2011,2011,2011/01/01,2021/08/31,programming,programming (#18),read,,,,1,0
1005,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,"Hill, Napoleon",,"=""1585424331""","=""9781585424337""",5,4.18,Tarcherperigee,Paperback,320,2005,1937,2018/11/16,2020/03/09,non-fiction,non-fiction (#1),read,,,,1,0
8148515,HTML5 for Web Designers,Jeremy Keith,"Keith, Jeremy",Jeffrey Zeldman,"=""0984442502""","=""9780984442508""",4,3.98,A Book Apart,Paperback,87,2010,2010,2010/03/08,2021/08/31,programming,programming (#16),read,,,,1,0
28257707,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""""","=""""",3,3.91,Harper,Paperback,212,2016,2016,2020/12/05,2021/08/28,non-fiction,non-fiction (#19),read,,,,1,0
88061,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"Obama, Barack",,"=""1921351438""","=""9781921351433""",4,3.93,New York: Three Rivers Press,Paperback,453,2004,1995,2019/06/05,2021/08/25,autobiography,autobiography (#1),read,,,,1,0
52300107,Caffeine: How Caffeine Created the Modern World,Michael Pollan,"Pollan, Michael",,"=""""","=""""",3,3.73,Audible Original,Audible Audio,2,2020,2020,2020/10/04,2021/08/29,non-fiction,non-fiction (#22),read,,,,1,0
180116,"Awaken the Giant Within: How to Take Immediate Control of Your Mental, Emotional, Physical and Financial Destiny!",Tony Robbins,"Robbins, Tony","Anthony Robbins, Frederick L. Covan","=""0671791540""","=""9780671791544""",4,4.15,Simon  Schuster,Paperback,544,1992,1992,2015/09/01,2021/09/07,,,read,"A classic, read it a long time ago. It helped me get fired up big time. A good starter for new readers of this genre.",,,1,0
23158207,How Google Works,Eric Schmidt,"Schmidt, Eric",Jonathan Rosenberg,"=""""","=""""",4,4.05,Grand Central Publishing,Kindle Edition,286,2014,2014,2017/07/01,2021/08/25,business,business (#4),read,,,,1,0
15843166,You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,"Sincero, Jen",,"=""0762447699""","=""9780762447695""",3,3.95,Running Press Adult,Paperback,254,2013,2013,2020/09/05,2021/09/07,,,read,,,,2,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",0,4.25,Harper Business,Paperback,623,2006,1949,,2021/09/08,to-read,to-read (#64),to-read,,,,0,0
44063692,What You Do Is Who You Are: How to Create Your Business Culture,Ben Horowitz,"Horowitz, Ben",,"=""0062871331""","=""9780062871336""",0,4.00,Harper Business,Hardcover,288,2019,2019,,2021/09/08,to-read,to-read (#63),to-read,,,,0,0
49099937,No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hastings, Reed",Erin Meyer,"=""0593152387""","=""9780593152386""",5,4.30,Random House Large Print Publishing,Paperback,464,2020,2020,2021/09/08,2020/11/17,business,business (#13),read,,,,1,0
944267,"Boundaries: When to Say Yes, How to Say No to Take Control of Your Life",Henry Cloud,"Cloud, Henry",John  Townsend,"=""""","=""""",0,4.20,Zondervan,Hardcover,314,1992,1992,,2021/09/06,to-read,to-read (#62),to-read,,,,0,0
39996759,A Philosophy of Software Design,John Ousterhout,"Ousterhout, John",,"=""1732102201""","=""9781732102200""",0,4.19,Yaknyam Press,Paperback,190,2018,2018,,2021/09/04,to-read,to-read (#61),to-read,,,,0,0
34267304,The Startup Way: Making Entrepreneurship a Fundamental Discipline of Every Enterprise,Eric Ries,"Ries, Eric",,"=""0147523303""","=""9780147523303""",0,3.98,Random House Audio Publishing Group,Audio CD,400,2017,2017,,2021/09/03,to-read,to-read (#60),to-read,,,,0,0
593458,The Art and Craft of Problem Solving,Paul Zeitz,"Zeitz, Paul",,"=""0471789011""","=""9780471789017""",0,4.57,Wiley,Paperback,366,2006,1999,,2021/09/03,to-read,to-read (#59),to-read,,,,0,0
33369254,The Manager's Path: A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,"Fournier, Camille",,"=""1491973897""","=""9781491973899""",0,4.26,O'Reilly Media,Paperback,226,2017,2017,,2021/09/02,to-read,to-read (#58),to-read,,,,0,0
25238425,The Effective Engineer: How to Leverage Your Efforts In Software Engineering to Make a Disproportionate and Meaningful Impact,Edmond Lau,"Lau, Edmond",,"=""0996128107""","=""9780996128100""",3,4.27,Effective Bookshelf,Paperback,260,2015,2015,2017/07/08,2018/12/28,non-fiction,non-fiction (#14),read,,,,1,0
44512538,Introduction to Natural Language Processing,Jacob Eisenstein,"Eisenstein, Jacob",,"=""0262042843""","=""9780262042840""",0,4.27,The MIT Press,Hardcover,536,2019,,,2021/09/02,to-read,to-read (#57),to-read,,,,0,0
37638074,"Dear Founder: Letters of Advice for Anyone Who Leads, Manages, or Wants to Start a Business",Maynard Webb,"Webb, Maynard",Carlye Adler,"=""1250195640""","=""9781250195647""",3,3.77,St. Martin's Press,Hardcover,352,2018,,2021/09/02,2021/08/29,business,business (#11),read,,,,1,0
50542735,Your Next Five Moves: Master the Art of Business Strategy,Patrick Bet-David,"Bet-David, Patrick",,"=""1982154829""","=""9781982154820""",0,4.14,Gallery Books,ebook,275,2020,,,2021/08/31,to-read,to-read (#56),to-read,,,,0,0
55277918,Super Founders: What Data Reveals About Billion-Dollar Startups,Ali Tamaseb,"Tamaseb, Ali",,"=""1541768426""","=""9781541768420""",0,4.25,PublicAffairs,Hardcover,320,2021,,,2021/08/31,to-read,to-read (#55),to-read,,,,0,0
43190966,Refactoring UI,Adam Wathan,"Wathan, Adam",Steve Schoger,"=""""","=""""",4,4.68,,ebook,252,2018,,,2021/08/31,"non-fiction, design","non-fiction (#25), design (#1)",read,,,,1,0
12544648,Cracking the Coding Interview: 150 Programming Questions and Solutions,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",,"=""1466208686""","=""9781466208681""",0,4.34,Createspace,Paperback,500,2011,2008,,2021/08/31,to-read,to-read (#54),to-read,,,,0,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.47,Scribner,Hardcover,400,2016,2016,,2021/08/31,to-read,to-read (#53),to-read,,,,0,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",0,4.14,Portfolio,Hardcover,226,2016,2016,,2021/08/31,to-read,to-read (#52),to-read,,,,0,0
20987043,Cracking the PM Interview: How to Land a Product Manager Job in Technology,Gayle Laakmann McDowell,"McDowell, Gayle Laakmann",Jackie Bavaro,"=""""","=""""",0,4.20,CareerCup,Kindle Edition,,2014,2013,,2021/08/31,to-read,to-read (#51),to-read,,,,0,0
44773654,"React Design Patterns and Best Practices: Design, build and deploy production-ready web applications using standard industry practices, 2nd Edition",Carlos Santana Roldán,"Roldán, Carlos Santana",,"=""""","=""""",0,3.49,Packt Publishing,Kindle Edition,350,2019,,,2021/08/31,"programming, currently-reading","programming (#14), currently-reading (#7)",currently-reading,,,,1,0
20787425,Reinventing Organizations: A Guide to Creating Organizations Inspired by the Next Stage of Human Consciousness,Frederic Laloux,"Laloux, Frederic",Ken Wilber,"=""""","=""""",0,4.21,Nelson Parker,Kindle Edition,382,2014,2014,,2021/08/29,to-read,to-read (#50),to-read,,,,0,0
9420697,"The Compound Effect: Jumpstart Your Income, Your Life, Your Success",Darren Hardy,"Hardy, Darren",,"=""""","=""""",0,4.24,SUCCESS Books,Kindle Edition,162,,2010,,2021/08/29,"non-fiction, currently-reading","non-fiction (#24), currently-reading (#6)",currently-reading,,,,1,0
16599562,The DAO of Capital: Austrian Investing in a Distorted World,Mark Spitznagel,"Spitznagel, Mark",Ron Paul,"=""1118416678""","=""9781118416679""",0,3.89,Wiley,ebook,368,2013,2013,,2021/08/29,"business, currently-reading","business (#12), currently-reading (#5)",currently-reading,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",5,4.21,The Penguin Group,Paperback,336,2014,2014,,2021/08/28,non-fiction,non-fiction (#21),read,,,,1,0
21856367,"The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution",Walter Isaacson,"Isaacson, Walter",,"=""147670869X""","=""9781476708690""",0,4.10,Simon and Schuster,Hardcover,542,2014,2014,,2021/08/28,to-read,to-read (#49),to-read,,,,0,0
54502643,Billion Dollar Loser: The Epic Rise and Spectacular Fall of Adam Neumann and WeWork,Reeves  Wiedeman,"Wiedeman, Reeves",,"=""0316461369""","=""9780316461368""",0,4.10,"Little, Brown and Company",Hardcover,352,2020,2020,,2021/08/28,to-read,to-read (#48),to-read,,,,0,0
25814544,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Jake Knapp,"Knapp, Jake","John Zeratsky, Brad Kowitz","=""""","=""9781501121746""",0,4.20,Simon  Schuster,Hardcover,274,2016,2016,,2021/08/28,to-read,to-read (#47),to-read,,,,0,0
40885164,Unshakeable: Your Financial Freedom Playbook,Anthony Robbins,"Robbins, Anthony",Tony Robbins,"=""""","=""""",3,4.07,Simon & Schuster,Kindle Edition,257,2017,2017,2018/10/13,2020/03/08,non-fiction,non-fiction (#18),read,,,,1,0
11084145,Steve Jobs,Walter Isaacson,"Isaacson, Walter",,"=""1451648537""","=""9781451648539""",5,4.16,Simon & Schuster,Hardcover,630,2011,2011,2015/07/22,2020/03/08,autobiography,autobiography (#10),read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",5,4.27,IT Revolution Press,Hardcover,345,2013,2013,2016/06/11,2020/03/08,"business, fiction","business (#10), fiction (#7)",read,,,,1,0
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",4,4.09,Latticework Publishing Inc.,Audiobook,216,2019,2018,2019/07/13,2020/03/08,"business, non-fiction","business (#9), non-fiction (#17)",read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",3,4.15,Free Press,Paperback,372,2004,1988,2018/08/08,2020/03/08,business,business (#8),read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.20,Ecco,Hardcover,392,2015,2015,2017/04/06,2020/03/08,autobiography,autobiography (#9),read,,,,1,0
43169404,Out of My Mind,Alan Arkin,"Arkin, Alan",,"=""""","=""""",3,3.20,Audible Original,Audible Audio,3,2018,2018,2019/01/03,2020/03/08,autobiography,autobiography (#8),read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",4,4.48,Crown,Hardcover,426,2018,2018,2019/09/01,2020/03/08,autobiography,autobiography (#7),read,,,,1,0
